rank,product,hdu,source_id,separation_arcsec,grating,filter,nominal_R,native_sampling_R_median,samples,wavelength_min_um,wavelength_max_um
1,jw05224004001_03101_00004_nrs2_x1d.fits,12,277193,0.0,PRISM,CLEAR,100,293.3168037713424,401,0.5995626449584961,5.303938865661621
2,jw05224004001_05101_00003_nrs2_x1d.fits,12,277193,0.0,PRISM,CLEAR,100,293.31678352980236,401,0.5995625853538513,5.303938388824463
3,jw05224004001_03101_00002_nrs2_x1d.fits,12,277193,0.0,PRISM,CLEAR,100,293.3138605838558,401,0.5995627045631409,5.303938865661621
4,jw05224-o004_s000277193_nirspec_clear-prism_x1d.fits,1,277193,0.0,PRISM,CLEAR,100,293.3138605838558,401,0.5995627045631409,5.303938865661621
5,jw05224004001_05101_00001_nrs2_x1d.fits,12,277193,0.0,PRISM,CLEAR,100,293.3138403425198,401,0.5995626449584961,5.303938388824463
6,jw05224004001_05101_00002_nrs2_x1d.fits,12,277193,0.0,PRISM,CLEAR,100,293.3138403425198,401,0.5995626449584961,5.303938388824463
7,jw05224004001_07101_00001_nrs2_x1d.fits,12,277193,0.0,PRISM,CLEAR,100,293.31382010118386,401,0.5995625853538513,5.303938388824463
8,jw05224004001_07101_00002_nrs2_x1d.fits,12,277193,0.0,PRISM,CLEAR,100,293.31382010118386,401,0.5995625853538513,5.303937911987305
9,jw05224004001_03101_00003_nrs2_x1d.fits,12,277193,0.0,PRISM,CLEAR,100,293.3138199985368,401,0.5995626449584961,5.303938865661621
10,jw05224004001_07101_00003_nrs2_x1d.fits,12,277193,0.0,PRISM,CLEAR,100,293.3137795158678,401,0.5995625853538513,5.303937911987305
