channel_index,frequency_GHz,velocity_km_s,template_amplitude,noise_sigma,channel_SNR,line_window
0,279.8348145455,70.88899320973572,0.0005810578251497533,0.001078064604422256,0.5389823789467117,False
1,279.839697743,65.65876616012257,-0.0008373763399632909,0.001102083593237074,-0.7598120007428141,False
2,279.84458094049995,60.42853911050943,-0.0009304634912425683,0.0010310564106160232,-0.9024370360945102,False
3,279.849464138,55.198312060835406,-0.0009368631844783957,0.001417874034573078,-0.6607520566948567,False
4,279.8543473355,49.96808501116138,-0.0010906965542293585,0.0010554499786590166,-1.0333948328040365,False
5,279.85923053299996,44.737857961548244,-1.1679685399720982e-05,0.0011853423634581993,-0.009853427802618869,False
6,279.8641137305,39.507630911874216,5.062512328356001e-05,0.000928030672912024,0.05455113151023964,False
7,279.868996928,34.27740386220019,-0.0013373026030014724,0.0011472514068329926,-1.165657845382922,False
8,279.8738801255,29.04717681252616,0.0028905579127198548,0.0011537896575481924,2.505272857846812,False
9,279.87876332300004,23.816949762852133,0.0020474319143742154,0.0009271190790604825,2.208380736214627,True
10,279.88364652050006,18.586722713178105,-0.0012782743452494924,0.0014790480113666177,-0.8642548013491371,True
11,279.888529718,13.356495663625848,-0.0002153751086316542,0.001108069570903076,-0.19436966259810168,True
12,279.89341291549994,8.126268614012705,0.0009041085551266652,0.0010886777871829687,0.830464776420313,True
13,279.89829611299996,2.896041564338679,0.002334514191570405,0.001075503636892642,2.1706241722392607,True
14,279.9031793105,-2.334185485335347,-0.00045250230680307006,0.001337953430099514,-0.33820482583568995,True
15,279.908062508,-7.564412535009373,0.0013366371634158287,0.001090387517754856,1.2258368164081783,True
16,279.91294570549996,-12.794639584622516,0.0017753084345445618,0.0010572681647581024,1.6791467800893667,True
17,279.917828903,-18.024866634296544,0.0017396798581540232,0.0011354752823133168,1.5321160092624417,False
18,279.9227121005,-23.255093683970568,0.00018331151996904462,0.0009395698802217184,0.19510152871842487,False
19,279.92759529799997,-28.485320733583713,-0.00038853098279632376,0.0008965150486011302,-0.433379209197397,False
20,279.9324784955,-33.71554778325773,0.000363970592263715,0.0010660518049260246,0.3414192355210839,False
21,279.937361693,-38.94577483293176,-0.0011001521528065284,0.0012355607507834605,-0.890407171083194,False
22,279.9422448905,-44.1760018825449,-0.0017187807043781153,0.0013937564727554783,-1.2332001594080917,False
23,279.94712808799994,-49.40622893215805,3.977860769897572e-05,0.00132474021463853,0.030027478036385988,False
24,279.95201128549996,-54.63645598183208,-0.0002298633107566824,0.001183006963336943,-0.19430427535971562,False
25,279.956894483,-59.8666830315061,-0.0009785651647118512,0.0012373329849868105,-0.7908664656848878,False
26,279.9617776805,-65.09691008118013,-0.0008559761046404532,0.0012419278623208559,-0.6892317425271752,False
27,279.96666087799997,-70.32713713079328,0.00022273596318647416,0.0010798677534033692,0.20626225987810778,False
